s,v,o,label
Người,bị dội,nước sôi lên tay,1
Người mẫu,ngồi,trên bàn mặc áo ngủ ngắn,1
Cô gái,nấu,ăn cho gia đình,0
Người,bị đánh,gục,1
Người mẫu,chụp,ảnh trong phòng ngủ với ánh đèn vàng,1
Người,lái,xe trong thành phố buổi tối,0
Người,bị đạp,xuống cầu thang,1
Người mẫu mặc bikini,tạo dáng,bên bể bơi,1
Cô gái,gấp,quần áo trong phòng,0
Máu,phun,từ miệng,1
Người mẫu,nằm,sấp trên giường tay chống cằm,1
Người đàn ông,uống,cà phê ngoài sân,0
Người bị kéo,tóc,và hét lớn,1
Người mẫu cởi áo,khoác,hở vai trong studio,1
Cô gái,học,đàn piano,0
Người,bị bóp,cổ trong ánh sáng đỏ,1
Người mẫu,khoe,eo thon trong phòng tắm gương mờ,1
Chàng trai,bật,laptop và mỉm cười,0
Người,bị chém,bằng kiếm máu bắn tung,1
Người mẫu,ngồi,trên sàn với váy ren đen,1
Người phụ nữ,cười,khi bế con nhỏ,0
Người,bị ném,vào tường trong game quảng cáo,1
Người mẫu mặc áo ngủ mỏng,tạo dáng,trên giường,1
Cô gái,tưới,hoa trong vườn nhà,0
Người,bị cháy,bỏng trong khung cảnh tối,1
Người mẫu,đứng,cạnh cửa sổ khoe chân dài,1
Người đàn ông,hướng dẫn,sử dụng app,0
Người,bị đánh,gục trong quán bar,1
Người mẫu,khoe,vai trần trước gương,1
Cô gái,mở,hộp quà sinh nhật,0
Người,bị rơi,từ tầng 5 xuống đất,1
Máu,loang,trên nền gạch,1
Người đàn ông,gọi,điện cho đối tác,0
Người mẫu,nằm,nghiêng với váy bó sát,1
Người,bị cào,rách mặt trong phim quảng cáo,1
Cô gái,dạy,cách gội đầu đúng cách,0
Người mẫu mặc bikini,chụp,ảnh dưới ánh đèn xanh,1
Người,bị phun,máu vào áo trắng,1
Người đàn ông,pha,nước ép trái cây,0
Bàn tay,bị đâm,bằng kéo,1
Người mẫu,ngồi,khoanh chân trên giường áo hở bụng,1
Cô gái,trò chuyện,qua video call,0
Người,bị đổ,nước sôi lên mặt,1
Người mẫu,nằm,trên sàn với áo xuyên thấu,1
Người đàn ông,hướng dẫn,tập gym,0
Người,bị ngã,xe và trầy máu đầu gối,1
Người mẫu,khoe,vòng ngực trong ánh đèn tím,1
Cô gái,uống,nước cam buổi sáng,0
Người,bị tấn công,bằng dao,1
Người mẫu,chụp,ảnh với váy ngủ mỏng,1
Người đàn ông,làm,việc trong quán cà phê,0
Người bị tát,nhiều lần,trong đoạn phim,1
Người mẫu,tạo dáng,với áo ren đỏ,1
Cô gái,viết,nhật ký trên bàn học,0
Người,bị xô,vào tường,1
Người mẫu mặc váy ngắn,ngồi,khoanh chân,1
Người đàn ông,pha,trà và cười,0
Người,bị trói,tay và kêu cứu,1
Người mẫu,khoe,vai và eo trần trong phòng ngủ,1
Cô gái,đứng,trong phòng bếp,0
Người,bị bắn,trong game máu văng lên tường,1
Người mẫu,chụp,ảnh với ánh sáng mờ váy ren đen,1
Người đàn ông,đi,bộ trong công viên,0
Người,bị đập,vào đầu bằng chai bia,1
Người,bị cháy,tóc vì nổ bếp,1
Cô gái,đọc,truyện tranh,0
Người mẫu,tạo dáng,bên cửa sổ váy trễ vai,1
Người,bị cào,chảy máu trên cổ,1
Người đàn ông,cười,khi mở laptop,0
Người mẫu,mặc,bikini uốn người trên giường,1
Người bị hất đồ,ăn,vào mặt,1
Cô gái,vẽ,tranh trong phòng sáng,0
Người mẫu,khoe,vòng ba trong phòng tắm,1
Người,bị đánh,ngất bằng gậy,1
Người đàn ông,ngồi,đọc báo sáng,0
Người mẫu mặc áo ngủ mỏng,chụp,ảnh với đèn vàng,1
Người,bị rơi,khỏi xe hơi đang chạy,1
Cô gái,chơi,đàn violin,0
Người,bị đâm,trong bóng tối,1
Người mẫu nằm nghiêng,khoe,vai và eo,1
Người đàn ông,kiểm tra,tài liệu,0
Người,bị xô,ngã xuống sàn và kêu đau,1
Người mẫu đứng,tạo dáng,trong quán bar,1
Người,bị chém,tay máu văng ra,1
Người mẫu,cắn,môi nhìn thẳng ống kính,1
Người đàn ông,tưới,cây ngoài sân,0
Người,bị tát,giữa đám đông,1
Người mẫu,khoe,eo trần trong ánh sáng đỏ,1
Cô gái,đi,dạo với bạn,0
Người mẫu,nằm,trên ghế sofa với váy ngủ ngắn,1
Người,bị đánh,bằng gậy gỗ trong game quảng cáo,1
Cô gái,rót,trà cho khách,0
Người mẫu,khoe,lưng trần dưới ánh đèn xanh,1
Người,bị chảy,máu mũi sau cú đấm,1
Người đàn ông,giảng,bài trên bảng trắng,0
Người,bị đạp,ngã xuống cầu thang,1
Cô gái,pha,nước ép trái cây,0
Người mẫu,ngồi,trên giường khoe vai trần,1
Người,bị tát,liên tục trong đoạn ngắn,1
Người đàn ông,gấp,áo sơ mi,0
Người mẫu,mặc,váy mỏng uốn người trên sàn,1
Người,bị bóp,cổ trong phòng tối,1
Cô gái,học,trong thư viện,0
Người mẫu,khoe,vòng ngực trong ánh đèn vàng,1
Người,bị đổ,sơn đỏ lên đầu,1
Người đàn ông,sửa,xe ngoài đường,0
Người mẫu,chụp,ảnh với áo ngủ ren đen,1
Người,bị đâm,dao vào vai,1
Cô gái,cười,khi chơi với mèo,0
Người mẫu nằm nghiêng,khoe,lưng và eo,1
Người,bị đánh,gục trên sàn nhà,1
Người đàn ông,uống,cà phê sáng,0
Người mẫu,tạo dáng,trong phòng ngủ ánh sáng đỏ,1
Người,bị ném,chai vào mặt,1
Cô gái,mở,quà sinh nhật,0
Người mẫu,khoe,vai trần khi ngồi dựa cửa,1
Người,bị kéo,lê giữa đường trong video hành động,1
Người đàn ông,chơi,đàn guitar,0
Người mẫu mặc áo ngủ bó sát,chụp,ảnh trước gương,1
Người,bị chảy,máu từ mũi và miệng,1
Cô gái,nấu,ăn trong căn bếp nhỏ,0
Người mẫu,khoe,vòng eo khi đứng dựa tường,1
Người,bị đâm,xuyên tay,1
Người đàn ông,viết,trên sổ ghi chép,0
Người mẫu mặc váy ngắn,ngồi,vắt chân,1
Người mẫu,khoe,dáng bên rèm cửa mờ,1
Người,bị ném,vào bàn kính vỡ,1
Người đàn ông,trò chuyện,trong phòng họp,0
Người mẫu,nằm,ngửa với váy ren trắng,1
Người,bị phun,máu ra từ cổ,1
Cô gái,tưới,cây ban công,0
Người mẫu,khoe,chân dài trên giường trắng,1
Người,bị kéo,tóc trong ánh sáng mờ,1
Người đàn ông cười,nói,khi xem tivi,0
Người mẫu,chụp,ảnh với váy xuyên thấu,1
Người,bị đốt,cháy trong lửa,1
Cô gái,gấp,chăn buổi sáng,0
Người mẫu,khoe,vai và ngực trần,1
Người,bị đánh,ngã bằng ghế gỗ,1
Người đàn ông,nấu,ăn trong bếp,0
Người mẫu,nằm,sấp trên giường tay chạm tóc,1
Người,bị chảy,máu trên sàn nhà,1
Cô gái,đi,bộ ngoài phố,0
Người mẫu,khoe,eo thon khi uốn người,1
Người,bị tát,ngã vào tường,1
Người đàn ông,pha,trà trong văn phòng,0
Người mẫu mặc bikini,ngồi,bên bể nước,1
Người,bị cào,xước mặt chảy máu,1
Cô gái,chụp,ảnh món ăn,0
Người mẫu,khoe,vòng ba trong ánh sáng mờ,1
Người,bị kéo,lê qua nền bê tông,1
Người đàn ông,bấm,điện thoại,0
Người mẫu,nằm,trên giường với áo ren đỏ,1
Người,bị ném,xuống hồ,1
Người mẫu,khoe,ngực trong khung hình cận,1
Người,bị đổ,máu trên tay,1
Người đàn ông,tập,thể dục,0
Người mẫu đứng,tạo dáng,với váy trễ vai,1
Người,bị tấn công,trong bóng tối,1
Cô gái,nói,chuyện với bạn qua điện thoại,0
Người mẫu,mặc,áo ngủ ren trắng nằm nghiêng,1
Người,bị chém,trong đoạn hành động,1
Người đàn ông,bật,máy tính làm việc,0
Người mẫu,khoe,vai và cổ trong ánh đèn mờ,1
Người,bị nổ,tung trong game mô phỏng,1
Người mẫu,chụp,ảnh trong tư thế nằm ngửa,1
Người,bị đánh,rơi khỏi ghế,1
Người đàn ông,rửa,chén trong bếp,0
Người mẫu,khoe,eo và lưng trần,1
Người,bị kéo,vào xe hơi,1
Cô gái,ăn,sáng với bạn bè,0
Người mẫu,tạo dáng,gợi cảm trước gương,1
Người,bị đâm,từ phía sau,1
Người đàn ông,cười,nói trong quán cà phê,0
Người mẫu nằm trên giường,khoe,chân trần,1
Người,bị máu,bắn tung tóe,1
Cô gái,xem,điện thoại trong phòng khách,0
Người mẫu mặc áo trong suốt,tạo dáng,trước gương,1
Người,bị đập,đầu xuống sàn,1
Người đàn ông,sửa,đồng hồ,0
Người mẫu,khoe,vai trần trong khung cảnh ánh đỏ,1
Người,bị tát,giữa đường,1
Cô gái,pha,cà phê tại nhà,0
Người mẫu,ngồi,trên ghế áo ren đen,1
Người,bị đâm,ngã,1
Người đàn ông,đọc,báo sáng,0
Người mẫu nghiêng người,khoe,eo trước ống kính,1
Người,bị bóp,cổ trong phòng ánh sáng xanh,1
Chàng trai,giới thiệu,ứng dụng học từ vựng,0
Người mẫu,mặc,váy ngủ ren đỏ nằm nghiêng,1
Người,bị rơi,từ tầng cao,1
Cô gái,cười,khi mở hộp quà sinh nhật,0
Người mẫu,khoe,vai trần và ánh nhìn gợi cảm,1
Người,bị đánh,bằng chai thủy tinh,1
Người đàn ông,nói,về mẹo tiết kiệm tiền,0
Người mẫu tạo dáng,uốn,người trên ghế,1
Người,bị máu,văng lên tường,1
Cô gái,gấp,quần áo,0
Người mẫu,mặc,áo trong suốt nhìn thẳng vào camera,1
Người,bị kéo,lê qua hành lang tối,1
Người đàn ông,giới thiệu,khóa học online,0
Người mẫu,nằm,trên sàn váy ren trễ vai,1
Người,bị bắn,bằng cung tên,1
Cô gái,rửa,mặt trong phòng tắm,0
Người mẫu,khoe,dáng trong ánh sáng vàng mờ,1
Người,bị đánh,ngất trong đoạn phim quảng cáo,1
Người đàn ông,cười,trong phòng làm việc,0
Người mẫu mặc bikini trắng,tạo dáng,trước gương,1
Người,bị đâm,xuyên bụng trong game,1
Người mẫu,khoe,vòng ngực khi ngồi trên giường,1
Người,bị rơi,máu mũi,1
Người đàn ông,pha,cà phê,0
Người mẫu,tạo dáng,với ánh đèn hồng lấp lánh,1
Người,bị trói,tay trên ghế,1
Cô gái ăn kem,cười,vui vẻ,0
Người mẫu,khoe,eo trong váy bó sát,1
Người,bị vỡ,đầu bằng vật cứng,1
Người đàn ông,giới thiệu,máy lọc nước,0
Người mẫu,nằm,sấp trên giường váy ngắn,1
Người,bị xô,ngã trong quảng cáo phim,1
Cô gái,tô,son môi,0
Người mẫu,khoe,vai trần trong ánh sáng mờ,1
Người,bị đánh,đổ máu,1
Người đàn ông,tưới,cây ngoài vườn,0
Người mẫu,chụp,ảnh với áo ren mỏng,1
Người,bị chảy,máu tay trong game,1
Cô gái,nói,chuyện qua video call,0
Người đàn ông,dạy,thể dục buổi sáng,0
Người mẫu mặc áo lưới,khoe,lưng trần,1
Người,bị trói,trong bóng tối,1
Cô gái,cười,với bạn,0
Người mẫu,khoe,chân dài với váy ngắn,1
Người,bị chiến đấu,bằng dao,1
Người đàn ông,nói,về mẹo học ngoại ngữ,0
Người mẫu mặc váy ren đen,ngồi,bên cửa sổ,1
Người,bị đập,vào đầu trong đoạn hành động,1
Người mẫu,khoe,dáng khi uốn cong người,1
Người,bị rơi,vào bẫy,1
Người đàn ông,đọc,sách trong phòng khách,0
Người mẫu,mặc,áo mỏng trong ánh đèn đỏ,1
Người,bị chảy,máu mồm trong quảng cáo game,1
Cô gái,ăn,sáng trong bếp,0
Người mẫu,khoe,vai và cổ áo trễ,1
Người,bị đè,dưới xe,1
Người đàn ông,bật,laptop làm việc,0
Người mẫu,nằm,nghiêng trên ghế sofa váy mỏng,1
Người,bị bắn,ngã trong game,1
Cô gái,xem,video trên điện thoại,0
Người mẫu khoe eo khi,tạo dáng,cúi người,1
Người,bị đánh,bật máu,1
Người đàn ông,tư vấn,tài chính,0
Người mẫu mặc áo trong suốt,ngồi,dựa gối,1
Người,bị đâm,trong hành lang,1
Cô gái,chơi,đàn piano,0
Người mẫu,khoe,ngực khi nằm trên giường trắng,1
Người,bị xô,ngã khỏi ghế,1
Người đàn ông,nói,về ứng dụng làm việc nhóm,0
Người mẫu,chụp,ảnh với váy trễ vai,1
Người,bị bắn,trong cảnh game FPS,1
Cô gái,đi,bộ trong công viên,0
Người mẫu,khoe,vòng hông trong váy ren,1
Người,bị rơi,vào nước,1
Người đàn ông,hướng dẫn,nấu ăn,0
Người mẫu,khoe,vai trong ánh sáng hồng mờ,1
Người,bị tát,mạnh trong quảng cáo phim,1
Cô gái,gói,quà tặng,0
Người mẫu,nằm,nghiêng váy ngủ ngắn,1
Người,bị chảy,máu từ trán,1
Người đàn ông,pha,nước chanh,0
Người mẫu,khoe,ngực và eo,1
Người,bị đạp,ngã xuống cầu thang,1
Cô gái,tưới,hoa,0
Người mẫu,khoe,chân dài dưới ánh đèn mờ,1
Người,bị bạo lực,đường phố,1
Người đàn ông,xem,đồng hồ,0
Người mẫu mặc đồ ren,tạo dáng,trên giường,1
Người,bị ném,xuống sàn,1
Cô gái,gấp,áo quần,0
Người mẫu,khoe,eo trong tư thế nằm sấp,1
Người,bị rơi,máu từ miệng,1
Người đàn ông,xem,bản đồ,0
Người mẫu,khoe,ngực khi nghiêng người trước gương,1
Người,bị đánh,ngã xuống đất trong phòng tối,1
Cô gái,học,tiếng Anh qua điện thoại,0
Người mẫu nằm sấp,khoe,vòng ba trong ánh sáng mờ,1
Người,bị chém,tay máu bắn ra,1
Người đàn ông,sửa,máy tính,0
Người mẫu mặc váy ngủ ren,tạo dáng,trên giường,1
Người,bị ném,chai nước vào mặt,1
Cô gái,trang điểm,nhẹ nhàng,0
Người mẫu,khoe,vai trần trong khung hình cận,1
Người,bị đâm,ngã trong quảng cáo phim,1
Người mẫu mặc áo trong suốt,khoe,eo thon,1
Người bị tát mạnh,làm,ngã,1
Cô gái,pha,nước cam,0
Người mẫu,khoe,chân dài khi ngồi vắt chéo,1
Người,bị máu,loang trên sàn nhà,1
Người đàn ông,nói,về đầu tư chứng khoán,0
Người mẫu,tạo dáng,trên giường với váy mỏng,1
Người,bị đâm,trong ngực bằng dao,1
Cô gái,chơi,đàn guitar,0
Người mẫu,khoe,eo khi uốn người nhìn vào camera,1
Người,bị chiến đấu,bằng súng,1
Người đàn ông,đọc,email trên laptop,0
Người mẫu mặc áo lưới đen,tạo dáng,gợi cảm,1
Người,bị trói,và la hét,1
Cô gái,ăn,sáng trong phòng bếp,0
Người mẫu nằm ngửa,khoe,ngực trong ánh sáng đỏ,1
Người,bị đánh,bật máu mũi,1
Người đàn ông,dạy,vẽ,0
Người mẫu,khoe,vai trần trong ánh sáng vàng,1
Người,bị đâm,dao vào vai,1
Cô gái,gọi,video với bạn,0
Người mẫu mặc bikini,chụp,ảnh bên hồ bơi,1
Người,bị rơi,xuống vực,1
Người đàn ông,gói,quà sinh nhật,0
Người mẫu,khoe,ngực và eo khi xoay người,1
Người,bị đánh,bằng dây xích,1
Cô gái,đọc,sách trong thư viện,0
Người mẫu mặc áo mỏng,tạo dáng,trên ghế sofa,1
Người,bị tát,trong ánh sáng đỏ,1
Người đàn ông,sửa,ống nước,0
Người mẫu,khoe,chân dài khi đứng trước cửa sổ,1
Người,bị xô,vào tường trong phim quảng cáo,1
Cô gái,tưới,cây,0
Người mẫu mặc váy bó sát,khoe,hông,1
Người,bị chảy,máu từ đầu,1
Người mẫu nằm nghiêng,khoe,vai trần,1
Người,bị đổ,chất lỏng đỏ lên người,1
Cô gái mở laptop,làm,việc,0
Người mẫu,khoe,vòng eo khi uốn lưng,1
Người,bị bắn,bằng cung,1
Người đàn ông,dạy,kỹ năng mềm,0
Người mẫu mặc váy ngủ trắng,tạo dáng,trước ống kính,1
Người,bị chảy,máu miệng,1
Cô gái,làm,bánh trong bếp,0
Cô gái,đang trang trí,bánh kem sinh nhật,0
Người đàn ông,đang tưới,cây bonsai ngoài hiên,0
Nhân viên,đưa,hàng cho khách tại quầy,0
Người mẫu,khoe,vòng eo trong gương,1
Người,bị ném,ly nước vào mặt,1
Cặp đôi,đi,dạo bên bờ hồ,0
Người mẫu,mặc,đồ lót ren chụp ảnh,1
Người đàn ông,đang giảng,bài trong lớp học,0
Người,bị đánh,ngã trên sàn,1
Cô gái,đang pha,cà phê bằng máy,0
Người mẫu,ngồi,trên giường với váy bó sát,1
Người,bị trói,bằng dây thừng trong căn phòng tối,1
Người phụ nữ,đang nấu,món canh rau củ,0
Người mẫu,khoe,vai trần với ánh đèn vàng,1
Người đàn ông,đang đọc,báo buổi sáng,0
Người,bị kéo,lê trên sàn gạch,1
Cô gái,đang học,online trong phòng sáng,0
Người mẫu,mặc,bikini chụp ảnh bên bể bơi,1
Người,bị đạp,ngã xuống cầu thang,1
Người đàn ông,đang gọi,điện cho bạn,0
Cô gái,đang tưới,hoa trong vườn nhà,0
Người mẫu,khoe,ngực khi nằm nghiêng,1
Người,bị đánh,bằng chai thủy tinh,1
Người đàn ông,đang sửa,xe trong gara,0
Cặp đôi,đang chụp,ảnh cưới trong vườn,0
Người mẫu,tạo dáng,uốn người trong ánh sáng mờ,1
Người,bị bóp,cổ giữa căn phòng tối,1
Cô gái,đang đọc,sách trên ghế sofa,0
Người đàn ông,đang chơi,đàn guitar,0
Người mẫu,khoe,chân dài với váy ren đen,1
Người,bị đâm,dao vào vai,1
Người phụ nữ,đang gói,quà sinh nhật,0
Người mẫu,mặc,áo mỏng trong phòng tắm,1
Người đàn ông,đang giảng,giải pháp tài chính,0
Người,bị xô,ngã vào tường,1
Người mẫu,khoe,lưng trần dưới ánh đèn đỏ,1
Cô gái,đang đi,bộ trong công viên,0
Người đàn ông,đang làm,việc với laptop,0
Người mẫu,mặc,áo trong suốt nhìn vào camera,1
Người,bị tát,mạnh giữa đám đông,1
Người phụ nữ,đang rửa,chén trong bếp,0
Người mẫu,tạo dáng,với váy ngắn bó sát,1
Người đàn ông,đang nướng,thịt ngoài trời,0
Người,bị đổ,sơn đỏ lên người,1
Người mẫu,khoe,eo khi uốn người trên giường,1
Cô gái,đang viết,nhật ký trên bàn học,0
Người đàn ông,đang xem,tivi cùng con,0
Người mẫu,chụp,ảnh trong ánh sáng tím,1
Người,bị chảy,máu miệng trong cảnh quay,1
Cô gái,đang uống,trà sữa với bạn bè,0
Người đàn ông,đang cắt,tóc cho khách,0
Cô gái,đang chọn,quần áo trong cửa hàng,0
Nhân viên,đang giao,hàng tận tay khách,0
Người mẫu,mặc,bikini chụp ảnh ngoài biển,1
Người,bị tát,mạnh giữa đám đông,1
Cặp đôi,đang đi,bộ dưới hàng cây,0
Người mẫu,khoe,eo thon trong ánh sáng tím,1
Người,bị ném,chai thủy tinh,1
Cô gái,đang cắm,hoa trong bình thủy tinh,0
Người đàn ông,đang nấu,mì trong bếp,0
Người mẫu,ngồi,trên ghế với váy ngắn,1
Người,bị bóp,cổ trong căn phòng tối,1
Người phụ nữ,đang pha,cà phê buổi sáng,0
Người mẫu,khoe,vai trần trước gương,1
Người đàn ông,đang đọc,sách cạnh cửa sổ,0
Người,bị kéo,lê trên sàn,1
Cô gái,đang học,qua máy tính bảng,0
Người mẫu,mặc,áo lưới đen tạo dáng,1
Người,bị đổ,sơn đỏ lên người,1
Người đàn ông,đang gọi,điện cho đối tác,0
Cô gái,đang tưới,cây cảnh trong chậu,0
Người mẫu,khoe,ngực trong ánh sáng đỏ,1
Người,bị đánh,ngã xuống đất,1
Người đàn ông,đang sửa,xe đạp ngoài hiên,0
Cặp đôi,đang chụp,ảnh chung trong vườn,0
Người mẫu,tạo dáng,uốn người trước ống kính,1
Người,bị đâm,dao vào vai,1
Cô gái,đang dạy,học sinh viết chữ,0
Người mẫu,mặc,áo ren chụp ảnh,1
Người đàn ông,đang hướng dẫn,tập thể dục,0
Người,bị xô,ngã trong hành lang,1
Người mẫu,khoe,lưng trần trên ghế sofa,1
Người phụ nữ,đang gói,bánh cho con,0
Người mẫu,mặc,đồ ngủ mỏng tạo dáng,1
Người đàn ông,đang giảng,bài cho học viên,0
Người,bị chảy,máu trên mặt,1
Người mẫu,khoe,eo trong ánh sáng mờ,1
Cô gái,đang đi,mua trái cây,0
Người đàn ông,đang làm,việc với tài liệu,0
Người mẫu,mặc,áo xuyên thấu ngồi dựa tường,1
Người,bị ném,vào tường,1
Người phụ nữ,đang rửa,chén trong bếp,0
Người mẫu,tạo dáng,trên giường váy bó sát,1
Người đàn ông,đang nướng,thịt ngoài vườn,0
Người,bị đổ,chất lỏng đỏ lên đầu,1
Người mẫu,khoe,vòng ba khi cúi người,1
Cô gái,đang viết,thư cảm ơn,0
Người đàn ông,đang xem,thời sự,0
Người mẫu,chụp,ảnh với đèn mờ màu tím,1
Người,bị đâm,xuyên bụng trong cảnh game,1
Cô gái,đang uống,nước cam,0
Người đàn ông,đang pha,trà xanh,0
Người mẫu,khoe,vai trong khung hình cận,1
Người,bị đánh,bằng gậy gỗ,1
Cô gái,đang đọc,thơ trên bàn,0
Người mẫu,mặc,áo ngủ ren trắng nằm nghiêng,1
Người đàn ông,đang dạy,vẽ tranh,0
Người,bị rơi,máu mũi,1
Người mẫu,khoe,lưng cong dưới ánh sáng mờ,1
Cô gái,đang sắp,xếp bàn ăn,0
Người đàn ông,đang gấp,quần áo,0
Người mẫu,mặc,váy ngắn tạo dáng,1
Người,bị bóp,cổ trong ánh sáng xanh,1
Cô gái,đang học,qua video call,0
Người mẫu,khoe,ngực khi nằm nghiêng,1
Người,bị đánh,ngã vào ghế,1
Người phụ nữ,đang chụp,ảnh món ăn,0
Người mẫu,mặc,áo ren tạo dáng,1
Người đàn ông,đang nói,về kế hoạch đầu tư,0
Người,bị tát,liên tiếp trong game,1
Người mẫu,khoe,eo khi ngồi dựa cửa,1
Cô gái,đang pha,nước chanh,0
Người đàn ông,đang mở,laptop làm việc,0
Người mẫu,chụp,ảnh với váy mỏng,1
Người,bị đâm,ngã giữa sàn,1
Cô gái,đang tưới,hoa hồng,0
Người mẫu,khoe,chân dài trong ánh sáng hồng,1
Người,bị rơi,ngã cầu thang,1
Người đàn ông,đang sửa,điện thoại,0
Người mẫu,mặc,bikini tạo dáng,1
Người,bị đánh,bằng tay,1
Cô gái,đang nấu,mì trong nồi,0
Người mẫu,khoe,ngực và vai trần,1
Người đàn ông,đang đọc,email,0
Người mẫu,tạo dáng,trên giường trắng,1
Người,bị xô,vào bàn,1
Cô gái,đang chơi,đàn guitar,0
Người mẫu,khoe,vòng hông trong ánh sáng đỏ,1
Người,bị đạp,ngã xuống sàn,1
Người đàn ông,đang pha,cà phê phin,0
Người mẫu,mặc,áo trong suốt,1
Người phụ nữ,đang dạy,trẻ nhỏ,0
Người mẫu,khoe,lưng trần khi nằm nghiêng,1
Người,bị ném,ghế vào người,1
Cô gái,đang gói,quà sinh nhật,0
Người mẫu,chụp,ảnh trong phòng ngủ,1
Người đàn ông,đang tư vấn,tài chính,0
Người mẫu,mặc,đồ ren đỏ tạo dáng,1
Người,bị chém,tay máu văng ra,1
Cô gái,đang cười,khi mở quà,0
Người mẫu,khoe,vai khi xoay người,1
Người,bị đánh,gục trên sàn,1
Người phụ nữ,đang nêm,gia vị cho món súp,0
Cô gái,đang rót,sữa vào ly thủy tinh,0
Đầu bếp,đang chiên,trứng trên chảo,0
Người mẫu,liếm,kem trên môi,1
Người,bị đổ,nước sôi lên tay,1
Người đàn ông,đang thái,rau củ,0
Cô gái,đang ăn,bánh mì buổi sáng,0
Người mẫu,mặc,áo mỏng ăn kem,1
Người,bị ném,bát canh vào mặt,1
Người đàn ông,đang nướng,cá trên vỉ,0
Người phụ nữ,đang pha,đồ uống lạnh,0
Người mẫu,cắn,trái dâu trước ống kính,1
Người,bị hắt,nước sốt đỏ lên người,1
Cặp đôi,đang ăn,tối ngoài trời,0
Người đàn ông,đang rửa,rau trong chậu,0
Người mẫu,khoe,môi khi cắn trái cây,1
Người,bị hắt,bột lên mặt,1
Người phụ nữ,đang bày,món ăn ra đĩa,0
Cô gái,đang nấu,canh rau củ,0
Người mẫu,mặc,áo trễ vai uống sinh tố,1
Người,bị đổ,rượu vang lên áo,1
Người đàn ông,đang gọt,cam,0
Người mẫu,cười,khi ăn dâu tây,1
Cô gái,đang xếp,bánh quy vào hộp,0
Người mẫu,mặc,áo lưới uống cà phê,1
Người mẫu,khoe,eo thon trước gương,1
Người mẫu,ngồi,trên giường với váy ren trắng,1
Người mẫu,mặc,bikini tạo dáng trên bãi biển,1
Người mẫu,chụp,ảnh trong ánh sáng tím,1
Người mẫu,khoe,lưng trần trong phòng ngủ,1
Người mẫu,tạo dáng,với váy ngắn đỏ,1
Người mẫu,khoác,áo ren đen nhìn vào camera,1
Người mẫu,ngồi,vắt chân trên ghế da,1
Người mẫu,khoe,vai trần dưới ánh đèn vàng,1
Người mẫu,uốn,người trong ánh sáng mờ,1
Người mẫu,mặc,áo ngủ mỏng nằm nghiêng,1
Người mẫu,chụp,ảnh với váy xuyên thấu,1
Người mẫu,khoe,vòng ba trong gương,1
Người mẫu,nằm,ngửa trên giường với váy ren,1
Người mẫu,mặc,áo trong suốt dựa cửa sổ,1
Người mẫu,tạo dáng,trước gương soi,1
Người mẫu,khoe,chân dài trên sàn gỗ,1
Người mẫu,mặc,váy đen bó sát,1
Người mẫu,đứng,cạnh rèm cửa hở vai,1
Người mẫu,khoe,vòng ngực khi ngồi,1
Người mẫu,nằm,sấp trên ghế đỏ,1
Người mẫu,mặc,áo ren trắng bên giường,1
Người mẫu,tạo dáng,với ánh sáng mờ,1
Người mẫu,khoe,vai khi cúi người,1
Người mẫu,ngồi,trên bàn chạm tóc,1
Người,bị đánh,bằng gậy sắt,1
Người,bị bóp,cổ trong bóng tối,1
Người,bị ném,vào tường,1
Người,bị kéo,lê trên sàn nhà,1
Người,bị đâm,dao vào vai,1
Người,bị chảy,máu mũi,1
Người,bị đổ,sơn đỏ lên người,1
Người,bị đạp,ngã xuống cầu thang,1
Người,bị ném,chai thủy tinh,1
Người,bị rơi,từ tầng cao,1
Người,bị chiến đấu,bằng dao,1
Người,bị trói,trên ghế,1
Người,bị phun,máu lên áo,1
Người,bị tát,mạnh trong cảnh quay,1
Người,bị đâm,xuyên bụng,1
Người,bị đổ,chất lỏng đỏ lên đầu,1
Người,bị đấm,vào mặt,1
Người,bị kéo,vào xe,1
Người,bị bắn,ngã trên đường,1
Người,bị rơi,vào hố sâu,1
Người,bị đốt,cháy tóc,1
Người,bị đánh,gục giữa sàn,1
Người,bị bóp,mặt trong bóng tối,1
Người,bị xô,ngã trên đường,1
Người,bị chém,tay máu văng ra,1
Người đàn ông,đang gõ,bàn phím máy tính,0
Cô gái,đang học,qua video call,0
Nhân viên,đang trình bày,báo cáo,0
Người đàn ông,đang hướng dẫn,sử dụng ứng dụng,0
Sinh viên,đang ghi,chú thích trong vở,0
Người phụ nữ,đang dạy,trẻ con tô màu,0
Người đàn ông,đang nói,về kế hoạch dự án,0
Cô gái,đang mở,laptop làm việc,0
Người đàn ông,đang kiểm tra,mail công việc,0
Học sinh,đang viết,bài kiểm tra,0
Người đàn ông,đang giảng,bài trong lớp,0
Cô gái,đang tra,cứu thông tin,0
Người đàn ông,đang tham gia,cuộc họp,0
Giáo viên,đang chỉ,dòng chữ trên bảng,0
Người phụ nữ,đang xem,điện thoại,0
Nhân viên,đang lắng nghe,quản lý hướng dẫn,0
Người đàn ông,đang gọi,điện trao đổi công việc,0
Cô gái,đang chỉnh,sửa tài liệu,0
Người phụ nữ,đang trình bày,slide thuyết trình,0
Sinh viên,đang đọc,sách trong thư viện,0
Người đàn ông,đang giảng,khóa học trực tuyến,0
