s,v,o,label
Cô gái,thử,tai nghe trong cửa hàng điện tử,0
Nhóm bạn,quảng cáo,nước táo bên bãi biển,0
Nhóm bạn trẻ,quảng cáo,rượu gin có thương hiệu trong clip quảng cáo,1
Đôi bạn trẻ,cầm,rượu gin có thương hiệu trong lúc lái ô tô,1
Bạn nữ,cụng,nước ép cam trong buổi picnic,0
Người phụ nữ,mở,bia nhẹ trước rạp chiếu phim,0
Một người,nói,thuốc này chữa được bệnh gan chỉ sau 2 ngày,1
Cô gái,đưa,bia lon khi đi dã ngoại,0
Một cậu thanh niên,đưa,nước táo khi xem bóng đá,0
Anh chàng,say,bia nhẹ trong phòng khách,0
Nhóm bạn,nhảy,múa trên sân khấu cầm bia hô to khẩu hiệu,0
Thanh niên,nâng,nước chanh trong buổi tiệc gia đình,0
Người phụ nữ,say,rượu whisky có thương hiệu trên livestream quảng bá,1
Bạn nữ,cầm,rượu vang đỏ trước poster thương hiệu trong quán bar với poster thương hiệu,1
Một người,nói,viên thuốc này giúp kéo dài tuổi sinh học mãi mãi,1
Nhóm sinh viên,cụng,bourbon thương hiệu lớn trên livestream quảng bá,1
Một nhóm thanh niên,cụng,rượu gin có thương hiệu trong khi leo núi,1
Anh chàng,nhìn,nước ép cam trước rạp chiếu phim,0
Một người,nói,nước ép này giúp đổi màu mắt tự nhiên,1
Người đàn ông,mở,vodka trong video quảng bá trong quán bar với poster thương hiệu,1
Người phụ nữ,giơ,nước táo khi đi dã ngoại,0
Anh chàng,say,mojito không cồn trong buổi tiệc gia đình,0
Một nhóm thanh niên,rót,nước chanh khi xem bóng đá,0
Anh chàng,mở,nước chanh trong buổi tiệc gia đình,0
Cô nhân viên,cầm,cà phê ở quán cà phê,0
Anh nhân viên,đưa,bia không logo trong buổi picnic,0
Một nhóm thanh niên,rót,cà phê khi xem bóng đá,0
Người mẫu,nằm,trên giường với ánh đèn vàng,1
Một người đàn ông,nhấp,tequila có logo trên livestream quảng bá,1
Nhóm bạn trẻ,nhấp,nước chanh bên bãi biển,0
Người đàn ông,rót,nước khoáng bên bãi biển,0
Anh nhân viên,giơ,nước ép dưa hấu bên bãi biển,0
Một cậu thanh niên,ăn,rum thương hiệu ABC trên livestream quảng bá,1
Một nhóm thanh niên,quảng cáo,rượu gin có thương hiệu khi điều khiển thuyền,1
Bạn nữ,nhấp,nước táo trong buổi picnic,0
Người phụ nữ,uống,vodka có logo trong lúc lái ô tô,1
Một người đàn ông,say,nước khoáng trong công viên,0
Video,hiển thị,cảnh người khóc lóc trong phòng tối,1
Đôi tay,cầm,điện thoại run nhẹ,1
Cô gái,mở,nước táo trong phòng khách,0
Một cậu thanh niên,đưa,rum thương hiệu ABC trong quán bar với poster thương hiệu,1
Nhóm bạn,uống,bia nhẹ bên bãi biển,0
Hai người đàn ông,xem,bóng đá và uống bia lon,0
Nhóm bạn trẻ,nhìn,bia lon khi đi dã ngoại,0
Anh chàng,giơ,rượu gin có thương hiệu trong khi leo núi,1
Nhóm bạn trẻ,quảng cáo,bia không logo trong buổi picnic,0
Một người đàn ông,đưa,bia không logo trong buổi picnic,0
Anh chàng,uống,rượu vang đỏ trước poster thương hiệu khi điều khiển thuyền,1
Một người đàn ông,cụng,cà phê khi đi dã ngoại,0
Người phụ nữ,nhìn,whisky trước biển hiệu quảng cáo khi điều khiển thuyền,1
Cặp đôi,say,rượu gin có thương hiệu trong lúc lái ô tô,1
Một cậu thanh niên,mở,trà sữa trong công viên,0
Bạn nữ,mở,mojito không cồn trong phòng khách,0
Cô nhân viên,mở,nước ép dưa hấu khi đi dã ngoại,0
Anh nhân viên,cụng,rượu vang đỏ trước poster thương hiệu khi điều khiển thuyền,1
Một nhóm thanh niên,quảng cáo,cà phê trong buổi picnic,0
Cặp đôi,cầm,bourbon thương hiệu lớn khi điều khiển thuyền,1
Một nhóm thanh niên,nhấp,nước ngọt ở quán cà phê,0
Một nhóm thanh niên,rót,bia nhẹ khi đi dã ngoại,0
Nhóm bạn trẻ,say,sinh tố dâu trong công viên,0
Nhóm sinh viên,uống,bia nhẹ trong buổi picnic,0
Một người đàn ông,nâng,nước ngọt trong buổi picnic,0
Anh nhân viên,nhìn,bia nhẹ khi xem bóng đá,0
Nhóm sinh viên,nâng,nước ép dưa hấu bên bãi biển,0
Người phụ nữ,rót,cà phê khi đi dã ngoại,0
Chàng trai,ăn,sinh tố dâu khi đi dã ngoại,0
Người đàn ông,nhấp,trà sữa khi xem bóng đá,0
Nhóm sinh viên,uống,bourbon thương hiệu lớn trong lúc lái ô tô,1
Video,ghi hình,một người học làm đồ da ví tiền,0
Nhóm sinh viên,nhìn,nước lọc khi xem bóng đá,0
Nhóm bạn trẻ,nhìn,mojito không cồn khi đi dã ngoại,0
Một cậu thanh niên,uống,rượu gin có thương hiệu khi điều khiển thuyền,1
Anh nhân viên,nhìn,trà sữa ở quán cà phê,0
Ba người bạn,uống,nước ép dưa hấu ở quán cà phê,0
Đôi bạn trẻ,quảng cáo,nước chanh trong buổi picnic,0
Nhóm sinh viên,quảng cáo,whisky trước biển hiệu quảng cáo trước biển hiệu quảng cáo,1
Thanh niên,nhấp,vodka trong video quảng bá trong clip quảng cáo,1
Cô gái,chọn,hoa tươi trong chợ sáng,0
Cô gái,quảng cáo,nước ngọt trong buổi picnic,0
Thanh niên,ăn,vodka trong video quảng bá trong khi leo núi,1
Nhóm bạn,quảng cáo,whisky trước biển hiệu quảng cáo trong clip quảng cáo,1
Anh nhân viên,cụng,nước ép cam khi đi dã ngoại,0
Người mẫu nam,cởi,trần và nhìn thẳng vào camera,1
Một cậu thanh niên,nhìn,cà phê trong buổi tiệc gia đình,0
Một nhóm thanh niên,nâng,vodka trong video quảng bá trong clip quảng cáo,1
Chàng trai,say,trà sữa trước rạp chiếu phim,0
Thanh niên,quảng cáo,tequila có logo trước biển hiệu quảng cáo,1
Nhóm bạn trẻ,giơ,rượu whisky có thương hiệu trong lúc lái ô tô,1
Người đàn ông,mở,vodka trong video quảng bá trước biển hiệu quảng cáo,1
Nhóm bạn trẻ,rót,cà phê ở quán cà phê,0
Anh nhân viên,nhấp,nước ép cam ở quán cà phê,0
Nhóm sinh viên,rót,nước chanh khi xem bóng đá,0
Cặp đôi,ăn,nước chanh khi đi dã ngoại,0
Đôi bạn trẻ,đưa,rum thương hiệu ABC trong clip quảng cáo,1
Cặp đôi,quảng cáo,sinh tố dâu trong buổi picnic,0
Cô gái,mở,nước ép cam ở quán cà phê,0
Anh chàng,cầm,nước ép cam trong công viên,0
Người đàn ông,đưa,nước chanh trước rạp chiếu phim,0
Nhóm bạn trẻ,nhìn,whisky trước biển hiệu quảng cáo khi điều khiển thuyền,1
Nhóm bạn,đưa,mojito không cồn trong công viên,0
Bạn nữ,nâng,mojito không cồn trong buổi tiệc gia đình,0
Nhóm sinh viên,say,bia nhẹ trong công viên,0
Một cậu thanh niên,giơ,sinh tố dâu trước rạp chiếu phim,0
Nhóm bạn trẻ,nhấp,nước ép cam khi đi dã ngoại,0
Bạn nữ,say,nước ép cam trong buổi tiệc gia đình,0
Một người đàn ông,cụng,vodka có logo trên livestream quảng bá,1
Cặp đôi,cụng,nước táo khi xem bóng đá,0
Nhóm bạn,đưa,trà sữa ở quán cà phê,0
Anh chàng,ăn,nước ngọt ở quán cà phê,0
Nhóm bạn,quảng cáo,nước táo khi đi dã ngoại,0
Nhóm sinh viên,đưa,bia không logo khi xem bóng đá,0
Anh nhân viên,đưa,cà phê trong công viên,0
Người đàn ông,nhìn,nước ngọt trong buổi tiệc gia đình,0
Một cậu thanh niên,nhìn,sinh tố dâu khi đi dã ngoại,0
Ba người bạn,đưa,rượu vang đỏ trước poster thương hiệu trong lúc lái ô tô,1
Một người,nói,viên kẹo này giúp tăng IQ và trí nhớ mãi mãi,1
Anh nhân viên,mở,bia không logo khi đi dã ngoại,0
Một nhóm thanh niên,ăn,bia không logo khi xem bóng đá,0
Cặp đôi,quảng cáo,whisky trước biển hiệu quảng cáo trong quán bar với poster thương hiệu,1
Ba người bạn,giơ,mojito không cồn trong buổi picnic,0
Người đàn ông,đưa,bia nhẹ khi đi dã ngoại,0
Người đàn ông,hô hào,mua cổ phiếu công ty mới chưa niêm yết,1
Cô nhân viên,ăn,rượu mạnh trong clip quảng cáo,1
Một nhóm thanh niên,say,nước ép cam trước rạp chiếu phim,0
Chàng trai,quảng cáo,rượu vang đỏ trước poster thương hiệu trước biển hiệu quảng cáo,1
Bạn nữ,rót,bia lon khi xem bóng đá,0
Người phụ nữ,mở,trà sữa trong công viên,0
Anh chàng,đưa,rum thương hiệu ABC trong quán bar với poster thương hiệu,1
Đôi bạn trẻ,say,mojito không cồn trong buổi picnic,0
Cô gái,say,nước ngọt trong buổi tiệc gia đình,0
Người phụ nữ,quảng cáo,nước lọc khi xem bóng đá,0
Nhóm bạn trẻ,nâng,sinh tố dâu trong phòng khách,0
Một nhóm thanh niên,quảng cáo,rượu vang đỏ trước poster thương hiệu trong lúc lái ô tô,1
Người,bị đổ,cà phê lên người,1
Người phụ nữ,uống,bia không logo trong buổi tiệc gia đình,0
Một cậu thanh niên,rót,trà sữa khi xem bóng đá,0
Một nhóm thanh niên,mở,trà sữa trong buổi tiệc gia đình,0
Cô nhân viên,nâng,whisky trước biển hiệu quảng cáo khi điều khiển thuyền,1
Một cậu thanh niên,giơ,bourbon thương hiệu lớn trước biển hiệu quảng cáo,1
Cô nhân viên,ăn,nước chanh trong buổi tiệc gia đình,0
Nhóm bạn trẻ,giơ,nước ép dưa hấu khi đi dã ngoại,0
Người phụ nữ,mở,rượu vang đỏ trước poster thương hiệu trong clip quảng cáo,1
Người phụ nữ,ăn,cà phê trong công viên,0
Nhóm sinh viên,nhìn,whisky trước biển hiệu quảng cáo trước biển hiệu quảng cáo,1
Nhóm bạn trẻ,uống,rum thương hiệu ABC trên livestream quảng bá,1
Thanh niên,quảng cáo,nước ép dưa hấu trong phòng khách,0
Một người đàn ông,rót,bia nhẹ trong công viên,0
Bạn nữ,quảng cáo,cà phê trước rạp chiếu phim,0
Anh chàng,mở,cà phê trong buổi picnic,0
Một người đàn ông,quảng cáo,vodka trong video quảng bá trên livestream quảng bá,1
Người mẫu,tạo dáng,uốn người trong ánh sáng mờ,1
Ba người bạn,cụng,nước táo trong phòng khách,0
Anh nhân viên,rót,nước chanh trong công viên,0
Thanh niên,giơ,rum thương hiệu ABC trước biển hiệu quảng cáo,1
Bạn nữ,ăn,rượu gin có thương hiệu khi điều khiển thuyền,1
Nhóm bạn trẻ,mở,rượu whisky có thương hiệu trên livestream quảng bá,1
Anh nhân viên,đưa,bia lon khi đi dã ngoại,0
Một người,nói,nước ép này giúp giảm cân 15kg trong 5 ngày,1
Hình ảnh bàn ăn,bày biện,ngăn nắp,0
Người đàn ông,nhấp,nước chanh khi đi dã ngoại,0
Một người đàn ông,say,rượu vang đỏ trước poster thương hiệu trong quán bar với poster thương hiệu,1
Cặp đôi,nâng,bia không logo trước rạp chiếu phim,0
Nhóm sinh viên,nhấp,bia nhẹ trong công viên,0
Ba người bạn,ăn,nước khoáng khi đi dã ngoại,0
Cô gái,rót,bia không logo trong buổi picnic,0
Người phụ nữ,cười,khi mở hộp mỹ phẩm mới,0
Người phụ nữ,uống,nước ép dưa hấu khi đi dã ngoại,0
Cận cảnh,hiển thị,điện thoại di động màu trắng,0
Cô gái,cụng,nước khoáng khi xem bóng đá,0
Đôi bạn trẻ,giơ,cà phê trong buổi picnic,0
Cô gái,say,bia lon trong buổi picnic,0
Thanh niên,quảng cáo,bia nhẹ bên bãi biển,0
Cảnh quay,ghi lại,cô gái mở máy tính làm việc tại quán cà phê,0
Một người đàn ông,nhấp,nước ép cam trước rạp chiếu phim,0
Nhóm sinh viên,nhấp,nước chanh bên bãi biển,0
Người phụ nữ,cầm,ly rượu vang đỏ và cười vào camera,1
Anh chàng,say,rượu vang đỏ trước poster thương hiệu trong clip quảng cáo,1
Ba người bạn,nhấp,bia lon khi xem bóng đá,0
Người,bị rơi,vào hồ bơi,1
Cặp đôi,đưa,bia lon ở quán cà phê,0
Chàng trai,cụng,trà sữa khi xem bóng đá,0
Cô gái,mở,sinh tố dâu khi xem bóng đá,0
Thanh niên,mở,vodka có logo trong quán bar với poster thương hiệu,1
Quảng cáo,giới thiệu,dịch vụ xâm nhập máy tính người khác,1
Cô nhân viên,cụng,sinh tố dâu ở quán cà phê,0
Ba người bạn,nâng,mojito không cồn trước rạp chiếu phim,0
Bạn nữ,cầm,mojito không cồn khi đi dã ngoại,0
Bạn nữ,uống,nước ép cam trước rạp chiếu phim,0
Đôi bạn trẻ,giơ,bia không logo trong công viên,0
Ba người bạn,rót,mojito không cồn trong buổi tiệc gia đình,0
Cô gái,mở,sinh tố dâu trong buổi picnic,0
Anh nhân viên,cụng,bia nhẹ trong buổi picnic,0
Cô gái,sắp xếp,bàn làm việc ngăn nắp,0
Cô gái,cắm,hoa hướng dương vào bình thủy tinh,0
Nhóm bạn,ăn,bia không logo trong buổi tiệc gia đình,0
Anh chàng,đưa,rượu gin có thương hiệu trên livestream quảng bá,1
Thanh niên,cụng,bia lon trong phòng khách,0
Đôi bạn trẻ,cầm,nước táo bên bãi biển,0
Nhóm bạn,cụng,nước ngọt khi xem bóng đá,0
Nhóm bạn,nhấp,nước ép cam trong công viên,0
Nhóm bạn,đưa,nước chanh trong công viên,0
Anh nhân viên,cụng,whisky trước biển hiệu quảng cáo trước biển hiệu quảng cáo,1
Cô gái,ăn,rượu gin có thương hiệu trong lúc lái ô tô,1
Khuôn mặt,lo lắng,trong ánh sáng mờ,1
Ánh sáng,phản chiếu,lên mặt bàn trắng,0
Bạn nữ,mở,whisky trước biển hiệu quảng cáo trong quán bar với poster thương hiệu,1
Người phụ nữ,nhìn,rượu whisky có thương hiệu khi điều khiển thuyền,1
Một người,nói,thuốc này giúp chữa mọi bệnh hiếm gặp,1
Chàng trai,nhấp,bia không logo trong buổi picnic,0
Anh nhân viên,cụng,nước chanh trong phòng khách,0
Nhóm bạn trẻ,nhìn,nước chanh trong buổi tiệc gia đình,0
Cặp đôi,ăn,vodka có logo trên livestream quảng bá,1
Video,ghi hình,người mẫu cố tình hở eo và vùng dưới rốn,1
Người phụ nữ,cụng,rum thương hiệu ABC trên livestream quảng bá,1
Một người đàn ông,nhìn,nước ngọt trong buổi picnic,0
Một người,đang lau,kính,0
Nhóm bạn trẻ,quảng cáo,rượu gin có thương hiệu trước biển hiệu quảng cáo,1
Cô nhân viên,cụng,nước chanh trong buổi picnic,0
Một nhóm thanh niên,nâng,mojito không cồn trong buổi tiệc gia đình,0
Đôi bạn trẻ,nhìn,vodka trong video quảng bá trong khi leo núi,1
Anh nhân viên,say,rượu whisky có thương hiệu trong khi leo núi,1
Anh chàng,quảng cáo,sinh tố dâu trong công viên,0
Bạn nữ,nâng,rượu whisky có thương hiệu trên livestream quảng bá,1
Anh chàng,đưa,rượu gin có thương hiệu trong khi leo núi,1
Một người đàn ông,nhấp,nước táo khi xem bóng đá,0
Người phụ nữ,mở,vodka có logo khi điều khiển thuyền,1
Người đàn ông,nhìn,nước ngọt trong buổi picnic,0
Cô nhân viên,quảng cáo,trà sữa trong công viên,0
Cặp đôi,uống,mojito không cồn trong buổi picnic,0
Người phụ nữ,quảng cáo,rượu mạnh trong clip quảng cáo,1
Nhóm bạn,nhìn,bia nhẹ bên bãi biển,0
Nhóm bạn trẻ,say,nước chanh trong phòng khách,0
Người phụ nữ,nhìn,rượu vang đỏ trước poster thương hiệu trước biển hiệu quảng cáo,1
Anh nhân viên,rót,mojito không cồn trước rạp chiếu phim,0
Video,ghi hình,một người bị tát mạnh vào mặt gây bạo lực,1
Nhóm sinh viên,say,rum thương hiệu ABC trong quán bar với poster thương hiệu,1
Một người,nói,nhấp vào đường dẫn là nhận được phần thưởng lớn,1
Nhóm bạn trẻ,cụng,bia không logo trong buổi tiệc gia đình,0
Anh chàng,giơ,nước chanh khi đi dã ngoại,0
Video,ghi hình,một người học pha cà phê espresso thủ công,0
Cô gái,đưa,bia nhẹ trong buổi tiệc gia đình,0
Người đàn ông,đang đánh,đàn guitar trong công viên,0
Một người đàn ông,cụng,rượu vang đỏ trước poster thương hiệu khi điều khiển thuyền,1
Người đàn ông,nhìn,rượu whisky có thương hiệu trong lúc lái ô tô,1
Đôi bạn trẻ,mở,tequila có logo trong lúc lái ô tô,1
Người đàn ông,say,nước táo trong công viên,0
Cô nhân viên,say,trà sữa khi xem bóng đá,0
Một người,nói,nước này giúp đổi màu da tự nhiên,1
Cô nhân viên,cầm,rượu mạnh trong khi leo núi,1
Chàng trai,mở,vodka có logo trong khi leo núi,1
Người phụ nữ,mở,sinh tố dâu trước rạp chiếu phim,0
Thanh niên,cụng,bia lon bên bãi biển,0
Đôi bạn trẻ,say,cà phê khi xem bóng đá,0
Cô nhân viên,cầm,whisky trước biển hiệu quảng cáo trước biển hiệu quảng cáo,1
Đôi bạn trẻ,đưa,rum thương hiệu ABC trên livestream quảng bá,1
Anh nhân viên,cụng,nước ngọt trong buổi tiệc gia đình,0
Thanh niên,uống,sinh tố dâu ở quán cà phê,0
Đôi bạn trẻ,ăn,nước ngọt trong buổi tiệc gia đình,0
Nhóm sinh viên,nâng,mojito không cồn bên bãi biển,0
Ba người bạn,say,bia lon trong công viên,0
Chàng trai,uống,bia lon trong công viên,0
Cặp đôi,nhìn,trà sữa trong buổi tiệc gia đình,0
Cặp đôi,nâng,tequila có logo trong quán bar với poster thương hiệu,1
Một cậu thanh niên,mở,nước ngọt trong buổi tiệc gia đình,0
Nhóm bạn trẻ,nhìn,rượu mạnh trước biển hiệu quảng cáo,1
Anh chàng,cầm,rượu vang đỏ trước poster thương hiệu trong clip quảng cáo,1
Anh nhân viên,rót,sinh tố dâu trong buổi picnic,0
Đôi bạn trẻ,nâng,cà phê trong buổi tiệc gia đình,0
Một nhóm thanh niên,đưa,mojito không cồn khi xem bóng đá,0
Nhóm bạn trẻ,đưa,nước ngọt khi xem bóng đá,0
Nhóm sinh viên,cầm,nước khoáng trong công viên,0
Bạn nữ,rót,bourbon thương hiệu lớn trong khi leo núi,1
Một người,nói,phần mềm này có thể hack mật khẩu ngân hàng,1
Khuôn mặt,thất thần,nhìn về phía màn hình,1
Đôi bạn trẻ,nhấp,rượu mạnh trước biển hiệu quảng cáo,1
Người phụ nữ,rót,nước ép dưa hấu trước rạp chiếu phim,0
Hình ảnh đồ uống,có,hơi nước nghi ngút,0
Người phụ nữ,giơ,bia nhẹ khi đi dã ngoại,0
Nhóm sinh viên,ăn,nước táo trong phòng khách,0
Người đàn ông,đang đọc,báo buổi sáng,0
Người đàn ông,nhấp,nước ép cam trong buổi picnic,0
Cô nhân viên,quảng cáo,bia không logo khi đi dã ngoại,0
Một người đàn ông,rót,rượu gin có thương hiệu trong quán bar với poster thương hiệu,1
Anh chàng,uống,rượu mạnh trong khi leo núi,1
Anh nhân viên,rót,rượu mạnh trong clip quảng cáo,1
Người đàn ông,quảng cáo,nước ngọt trong buổi tiệc gia đình,0
Đôi bạn trẻ,cầm,vodka có logo trên livestream quảng bá,1
Một người đàn ông,uống,nước táo khi xem bóng đá,0
Nhóm bạn,say,nước táo trước rạp chiếu phim,0
Cô nhân viên,mở,nước táo trong buổi picnic,0
Một người đàn ông,uống,nước lọc bên bãi biển,0
Cô nhân viên,cầm,tequila có logo trong khi leo núi,1
Nhóm bạn,cầm,nước ngọt trong công viên,0
Thanh niên,nhấp,mojito không cồn trong buổi picnic,0
Nhóm bạn,giơ,nước ngọt trong buổi tiệc gia đình,0
Bạn nữ,nâng,rượu whisky có thương hiệu trong khi leo núi,1
Cô gái,quảng cáo,nước chanh trong buổi picnic,0
Thanh niên,mở,bia không logo ở quán cà phê,0
Một cậu thanh niên,quảng cáo,tequila có logo trên livestream quảng bá,1
Nhóm bạn,giơ,mojito không cồn trước rạp chiếu phim,0
Người phụ nữ,ăn,mojito không cồn khi đi dã ngoại,0
Video,ghi hình,một người học bảo dưỡng xe máy cơ bản,0
Ba người bạn,đưa,nước ép dưa hấu trong phòng khách,0
Thanh niên,say,bia lon ở quán cà phê,0
Nhóm bạn,quảng cáo,vodka trong video quảng bá trước biển hiệu quảng cáo,1
Anh chàng,giơ,rum thương hiệu ABC khi điều khiển thuyền,1
Cô nhân viên,cầm,nước ép cam trong phòng khách,0
Cặp đôi,uống,rượu vang đỏ trước poster thương hiệu trong khi leo núi,1
Chàng trai,đưa,mojito không cồn trong công viên,0
Thanh niên,quảng cáo,trà sữa khi đi dã ngoại,0
Người cha,đang cười,khi chơi lego,0
Một nhóm thanh niên,nâng,nước ép dưa hấu trước rạp chiếu phim,0
Video,ghi hình,người mẫu cố tình hở eo và vùng sườn khi mặc đồ tập gym,1
Người đàn ông,nâng,bia lon trước rạp chiếu phim,0
Người đàn ông,chỉnh,micro để thu âm,0
Anh chàng,ăn,bia nhẹ trong phòng khách,0
Cô gái,đang khởi động,ngoài trời,0
Anh nhân viên,cụng,bia nhẹ bên bãi biển,0
Anh chàng,uống,rượu whisky có thương hiệu trong khi leo núi,1
Người đàn ông,say,nước khoáng trước rạp chiếu phim,0
Chàng trai,cầm,sinh tố dâu bên bãi biển,0
Anh chàng,ăn,mojito không cồn ở quán cà phê,0
Đôi bạn trẻ,cụng,bourbon thương hiệu lớn trên livestream quảng bá,1
Nhóm sinh viên,quảng cáo,nước chanh trước rạp chiếu phim,0
Một người,nói,thuốc này làm tan sỏi thận ngay lập tức,1
Anh chàng,nâng,nước ngọt trong buổi picnic,0
Cảnh,quay,rượt đuổi xe hơi tốc độ cao,1
Nhóm bạn,mở,bia nhẹ trong buổi picnic,0
Một cậu thanh niên,nâng,nước chanh trong phòng khách,0
Ba người bạn,say,mojito không cồn trong buổi tiệc gia đình,0
Một nhóm thanh niên,cầm,rượu whisky có thương hiệu trong quán bar với poster thương hiệu,1
Cô gái,rót,nước ép dưa hấu khi xem bóng đá,0
Nhóm bạn,đưa,nước lọc trong buổi picnic,0
Anh chàng,mở,sinh tố dâu trước rạp chiếu phim,0
Ba người bạn,đưa,bourbon thương hiệu lớn khi điều khiển thuyền,1
Cặp đôi,rót,nước khoáng khi đi dã ngoại,0
Chàng trai,mở,cà phê trước rạp chiếu phim,0
Một cậu thanh niên,quảng cáo,nước khoáng trong buổi tiệc gia đình,0
Đôi bạn trẻ,cụng,vodka có logo trong clip quảng cáo,1
Người phụ nữ,cầm,nước ép cam trong phòng khách,0
Một người đàn ông,cầm,bia lon trong công viên,0
Cô nhân viên,nhấp,bia không logo bên bãi biển,0
Ba người bạn,nhấp,nước ép dưa hấu khi đi dã ngoại,0
Người phụ nữ,nhìn,bia nhẹ trong buổi tiệc gia đình,0
Một cậu thanh niên,rót,rượu vang đỏ trước poster thương hiệu trên livestream quảng bá,1
Chàng trai,uống,rượu gin có thương hiệu trên livestream quảng bá,1
Quảng cáo,giới thiệu,dịch vụ xóa thông tin nợ xấu khỏi CIC,1
Cận cảnh,hiển thị,một người cào xước cổ họng đến chảy máu,1
Một người đàn ông,quảng cáo,nước lọc trong phòng khách,0
Cô nhân viên,mở,bourbon thương hiệu lớn trong lúc lái ô tô,1
Người đàn ông,quảng cáo,rượu bourbon bằng cách nâng chai,1
Anh nhân viên,ăn,vodka có logo trong quán bar với poster thương hiệu,1
Một nhóm thanh niên,nâng,nước táo trước rạp chiếu phim,0
Bạn nữ,nhấp,nước lọc trong buổi tiệc gia đình,0
Thanh niên,cụng,nước ép cam trong buổi tiệc gia đình,0
Quảng cáo,giới thiệu,ứng dụng cho vay trả góp hàng giờ lãi suất cao,1
Một cậu thanh niên,giơ,whisky trước biển hiệu quảng cáo trong khi leo núi,1
Cô nhân viên,giơ,mojito không cồn trong buổi tiệc gia đình,0
Nhóm sinh viên,rót,rượu vang đỏ trước poster thương hiệu trước biển hiệu quảng cáo,1
Thanh niên,giơ,nước ngọt trong công viên,0
Cặp đôi,quảng cáo,rum thương hiệu ABC khi điều khiển thuyền,1
Thanh niên,cầm,bia không logo trong buổi picnic,0
Đôi bạn trẻ,uống,nước táo bên bãi biển,0
Cặp đôi,nhấp,cà phê trong phòng khách,0
Chàng trai,ăn,cà phê trong công viên,0
Cô gái,uống,sinh tố cam tươi,0
Một người đàn ông,giơ,nước chanh khi đi dã ngoại,0
Cô nhân viên,nhấp,cà phê trong buổi picnic,0
Một nhóm thanh niên,nâng,nước ép dưa hấu khi đi dã ngoại,0
Một người,nói,thuốc này được chuyên gia Mỹ công nhận sai,1
Bạn nữ,nâng,whisky trước biển hiệu quảng cáo trước biển hiệu quảng cáo,1
Ba người bạn,rót,bia không logo trước rạp chiếu phim,0
Anh chàng,đưa,bia nhẹ trong phòng khách,0
Đôi bạn trẻ,say,bia nhẹ bên bãi biển,0
Bạn nữ,đưa,nước khoáng ở quán cà phê,0
Một người đàn ông,cầm,cà phê trước rạp chiếu phim,0
Đôi bạn trẻ,uống,nước lọc khi đi dã ngoại,0
Một người đàn ông,giơ,rượu mạnh trước biển hiệu quảng cáo,1
Người mẫu,mặc,áo ngủ ngồi bên laptop,1
Nhóm bạn,quảng cáo,bia không logo trong công viên,0
Một người đàn ông,rót,rượu vang đỏ trước poster thương hiệu trong quán bar với poster thương hiệu,1
Cô gái,giơ,nước lọc trong phòng khách,0
Đôi bạn trẻ,quảng cáo,sinh tố dâu trong buổi picnic,0
Ba người bạn,đưa,mojito không cồn trong buổi picnic,0
Đôi bạn trẻ,say,tequila có logo trong lúc lái ô tô,1
Cặp đôi,nhấp,bia lon trước rạp chiếu phim,0
Một người đàn ông,rót,vodka có logo khi điều khiển thuyền,1
Nhóm bạn trẻ,ăn,nước táo khi đi dã ngoại,0
Nhóm sinh viên,rót,bia lon trước rạp chiếu phim,0
Thanh niên,cụng,bia nhẹ bên bãi biển,0
Cô nhân viên,cụng,rượu gin có thương hiệu khi điều khiển thuyền,1
Cô gái,nhấp,rượu mạnh trong quán bar với poster thương hiệu,1
Nhóm bạn trẻ,rót,rượu mạnh trong khi leo núi,1
Cô gái,nâng,bourbon thương hiệu lớn khi điều khiển thuyền,1
Một người đàn ông,uống,bourbon thương hiệu lớn trong quán bar với poster thương hiệu,1
Một người đàn ông,quảng cáo,bia lon trong công viên,0
Anh chàng,giơ,rum thương hiệu ABC trên livestream quảng bá,1
Bạn nữ,nhìn,cà phê trong công viên,0
Một bàn tay,cầm,tờ giấy ghi “nhận tiền nhanh không giới hạn”,1
Thanh niên,nhấp,bourbon thương hiệu lớn trong clip quảng cáo,1
Một nhóm thanh niên,nâng,cà phê ở quán cà phê,0
Người đàn ông,nhấp,nước ép dưa hấu trong phòng khách,0
Một cậu thanh niên,say,nước ép dưa hấu trước rạp chiếu phim,0
Ba người bạn,đưa,nước ép cam trong phòng khách,0
Thanh niên,say,vodka có logo trong lúc lái ô tô,1
Nhóm sinh viên,đưa,rượu gin có thương hiệu trong khi leo núi,1
Thanh niên,cầm,nước táo ở quán cà phê,0
Chàng trai,ăn,tequila có logo khi điều khiển thuyền,1
Người phụ nữ,mở,nước khoáng trước rạp chiếu phim,0
Anh chàng,uống,nước táo trong buổi tiệc gia đình,0
Nhóm bạn,nhấp,trà sữa trong buổi tiệc gia đình,0
Nhân viên,thuyết,phục khách hàng bằng nụ cười thân thiện,0
Cô gái,thử,son môi nude sáng,0
Người dùng,đặt,vé xem phim 4D qua ứng dụng,0
Cô nhân viên,quảng cáo,nước chanh khi đi dã ngoại,0
Một nhóm thanh niên,mở,vodka trong video quảng bá trên livestream quảng bá,1
Bạn nữ,nâng,bia lon trong phòng khách,0
Ba người bạn,đưa,nước lọc bên bãi biển,0
Người mẫu,khoe,vai khi uốn người,1
Anh nhân viên,đưa,bia nhẹ trong buổi tiệc gia đình,0
